Gene ID	Gene Name	Description	GO	KEGG	NFkB	ReactomePathway	ReactomeReaction
SDHA	SDHA	"Succinate dehydrogenase complex, subunit A, flavoprotein (Fp)"	GO:0000104 GO:0005739 GO:0005749 GO:0006099 GO:0006118 GO:0008177 GO:0016491 GO:0016627 GO:0050660 	hsa00020 hsa00190 	 	71403 71406 163200 	70994 163213 
SPTAN1	SPTAN1	"Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)"	GO:0003779 GO:0005200 GO:0005509 GO:0005516 GO:0005624 GO:0005856 GO:0008091 GO:0016020 GO:0030018 GO:0051016 	hsa04530 	 	 	 
BLOC1S1	BLOC1S1	"Biogenesis of lysosome-related organelles complex-1, subunit 1"	GO:0000004 GO:0005515 GO:0005554 GO:0008372 	 	 	 	 
ATP5O	ATP5O	"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)"	GO:0005215 GO:0005624 GO:0005739 GO:0005753 GO:0006811 GO:0015986 GO:0015992 GO:0016469 GO:0016787 GO:0045261 GO:0046872 GO:0046933 GO:0046961 	hsa00190 hsa00193 	 	15869 73847 74226 74231 163210 	164832 164834 164840 
NDUFS8	NDUFS8	"NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)"	GO:0003954 GO:0005506 GO:0005624 GO:0005739 GO:0006118 GO:0006120 GO:0008137 GO:0046872 GO:0051539 	hsa00190 	 	163200	163217
MAN2B1	MAN2B1	"Mannosidase, alpha, class 2B, member 1"	GO:0004559 GO:0005764 GO:0005975 GO:0006013 GO:0006464 GO:0006517 GO:0007611 GO:0008270 GO:0016798 GO:0046872 	hsa00511 hsa01032 	p65_(+LPS) c+Rel_(+LPS) RelB_(+LPS) p50_(+LPS)	 	 
RASSF2	RASSF2	Ras association (RalGDS/AF-6) domain family 2	GO:0005515 GO:0005634 GO:0007049 GO:0007165 GO:0007218 GO:0045786 	 	 	 	 
AP1B1	AP1B1	"Adaptor-related protein complex 1, beta 1 subunit"	GO:0005215 GO:0005488 GO:0005515 GO:0005802 GO:0005905 GO:0006461 GO:0006886 GO:0006897 GO:0016192 GO:0030130 	 	 	 	 
POLR2G	POLR2G	Polymerase (RNA) II (DNA directed) polypeptide G	GO:0003723 GO:0003899 GO:0005515 GO:0005634 GO:0005665 GO:0006283 GO:0006350 GO:0006366 GO:0016740 	hsa00230 hsa00240 hsa03020 	 	72086 72163 72165 72172 72203 73776 73779 73857 73885 73894 73937 74159 74160 75071 75953 75955 75983 76042 76043 77075 110302 110304 112168 112295 112382 112386 112387 113418 162587 162599 162906 167158 167160 167161 167162 167164 167169 167172 167200 16	72095 72103 72107 72124 72127 72130 72139 72143 72160 73946 75079 75080 75081 75082 75083 75095 75850 75856 75861 75862 75864 75866 75869 75873 75891 75949 76576 77068 77069 77071 77073 77077 77078 77081 77083 77085 77090 77095 109638 109639 109972 109973
DDB1	DDB1	"Damage-specific DNA binding protein 1, 127kDa"	GO:0003676 GO:0003684 GO:0005634 GO:0006289 GO:0006512 	 	 	73885 73894 73935 73941 109970 	73934 73936 73938 73939 109953 
QARS	QARS	Glutaminyl-tRNA synthetase	GO:0000166 GO:0004818 GO:0004819 GO:0005515 GO:0005524 GO:0005625 GO:0005737 GO:0006412 GO:0006424 GO:0006425 GO:0016874 	hsa00251 hsa00970 	 	 	 
NDUFV3	NDUFV3	"NADH dehydrogenase (ubiquinone) flavoprotein 3, 10kDa"	GO:0003954 GO:0005739 GO:0006120 GO:0008137 GO:0016491 	hsa00190 	 	163200	163217
MAPKAPK3	MAPKAPK3	Mitogen-activated protein kinase-activated protein kinase 3	GO:0000166 GO:0004674 GO:0004708 GO:0005524 GO:0005634 GO:0006468 GO:0006950 GO:0007165 GO:0016740 	hsa04010 hsa04370 	 	 	 
EIF4B	EIF4B	Eukaryotic translation initiation factor 4B	GO:0000166 GO:0003676 GO:0003723 GO:0003743 GO:0006412 GO:0006446 GO:0016281 	hsa04150 	 	72613 72649 72662 72702 72706 72737 72766 74160 74751 74752 77389 109703 109704 112399 156827 157279 165159 165720 166207 166208 	72619 72621 72647 72697 156808 156823 157849 165777 
PPP1R7	PPP1R7	"Protein phosphatase 1, regulatory subunit 7"	GO:0005634 GO:0005737 GO:0008599 	 	 	 	 
LGALS1	LGALS1	"Lectin, galactoside-binding, soluble, 1 (galectin 1)"	GO:0004871 GO:0005529 GO:0005737 GO:0042981 GO:0043123 	 	p50_(-LPS) p50_(+LPS)	 	 
GPI	GPI	Glucose phosphate isomerase	GO:0004347 GO:0005125 GO:0005615 GO:0005975 GO:0006094 GO:0006096 GO:0006959 GO:0007399 GO:0007599 GO:0008083 GO:0016853 	hsa00010 hsa00030 hsa00500 	 	70112 70171 70257 70263 70268 70326 71387 71408 	70471 70475 
COX4I1	COX4I1	Cytochrome c oxidase subunit IV isoform 1	GO:0004129 GO:0005739 GO:0005743 GO:0006118 GO:0016020 GO:0016021 GO:0016491 	hsa00190 	p50_(-LPS) p50_(+LPS)	163200	163214
COX5B	COX5B	Cytochrome c oxidase subunit Vb	GO:0004129 GO:0005739 GO:0005740 GO:0006118 GO:0007585 GO:0008270 GO:0016020 GO:0016491 GO:0046872 	hsa00190 	 	163200	163214
BCAP31	BCAP31	B-cell receptor-associated protein 31	GO:0000139 GO:0005102 GO:0005783 GO:0005886 GO:0005887 GO:0006888 GO:0006915 GO:0006955 GO:0015031 GO:0016020 	 	 	 	 
RPN2	RPN2	Ribophorin II	GO:0004579 GO:0005783 GO:0006464 GO:0008250 GO:0016020 GO:0016021 GO:0016740 GO:0018279 	hsa00510 hsa01030 	 	 	 
PDXK	PDXK	"Pyridoxal (pyridoxine, vitamin B6) kinase"	GO:0000166 GO:0005524 GO:0008270 GO:0008478 GO:0016740 GO:0046872 	hsa00750 	 	 	 
BZRP	BZRP	none	 	 	 	 	 
HK1	HK1	Hexokinase 1	GO:0000166 GO:0004396 GO:0005524 GO:0005739 GO:0005829 GO:0006096 GO:0016020 GO:0016301 GO:0016740 	hsa00010 hsa00051 hsa00052 hsa00500 hsa00521 hsa00530 	 	70114 70153 70326 71387 71408 	70397
GPX1	GPX1	Glutathione peroxidase 1	 	hsa00480 hsa00590 hsa05030 	p50_(-LPS) p65_(+LPS) c+Rel_(+LPS) RelB_(+LPS) p50_(+LPS) p52_(+LPS)	 	 
ATP6AP1	ATP6AP1	"ATPase, H+ transporting, lysosomal accessory protein 1"	GO:0000166 GO:0005215 GO:0005524 GO:0005615 GO:0005773 GO:0006754 GO:0006811 GO:0015078 GO:0015992 GO:0016020 GO:0016021 GO:0016469 GO:0016787 GO:0046872 	hsa00190 hsa00193 	 	 	 
PPGB	PPGB	Protective protein for beta-galactosidase (galactosialidosis)	GO:0003824 GO:0004185 GO:0004186 GO:0005478 GO:0005515 GO:0005739 GO:0005764 GO:0005783 GO:0006508 GO:0006886 GO:0008047 GO:0008233 	 	 	 	 
LRPAP1	LRPAP1	Low density lipoprotein receptor-related protein associated protein 1	GO:0004873 GO:0005509 GO:0005615 GO:0005783 GO:0005886 GO:0006457 GO:0008034 GO:0008201 GO:0008283 GO:0016021 GO:0016192 GO:0050750 GO:0051082 	 	 	 	 
PLOD	PLOD	none	 	 	 	 	 
VAT1	VAT1	Vesicle amine transport protein 1 homolog (T californica)	GO:0003677 GO:0005634 GO:0008021 GO:0008270 GO:0016021 GO:0016049 GO:0016491 	 	 	 	 
AP2M1	AP2M1	"Adaptor-related protein complex 2, mu 1 subunit"	GO:0005215 GO:0005515 GO:0005739 GO:0005905 GO:0006810 GO:0006886 GO:0008289 GO:0016192 GO:0030125 GO:0030141 	 	 	 	 
AP2S1	AP2S1	"Adaptor-related protein complex 2, sigma 1 subunit"	GO:0005905 GO:0006810 GO:0006886 GO:0008565 GO:0030100 GO:0030122 GO:0030125 GO:0048268 	 	 	 	 
IDH3G	IDH3G	Isocitrate dehydrogenase 3 (NAD+) gamma	GO:0000004 GO:0000166 GO:0004449 GO:0005524 GO:0005739 GO:0005975 GO:0006099 GO:0008152 GO:0008372 GO:0016491 GO:0016652 	hsa00020 	 	71403 71406 	70967
POLR2E	POLR2E	"Polymerase (RNA) II (DNA directed) polypeptide E, 25kDa"	GO:0003677 GO:0003899 GO:0005515 GO:0005634 GO:0005665 GO:0006350 GO:0006366 GO:0016740 	hsa00230 hsa00240 hsa03020 	 	72086 72163 72165 72172 72203 73776 73779 73780 73857 73885 73894 73937 73980 74158 74159 74160 75071 75953 75955 75983 76042 76043 76046 76061 76066 76071 77075 110302 110304 112168 112295 112382 112386 112387 113418 162587 162599 162906 167158 167160 16	72095 72103 72107 72124 72127 72130 72139 72143 72160 73946 75079 75080 75081 75082 75083 75095 75850 75856 75861 75862 75864 75866 75869 75873 75891 75949 76056 76060 76576 77068 77069 77071 77073 77077 77078 77081 77083 77085 77090 77095 83803 83805 109
MAPK14	MAPK14	Mitogen-activated protein kinase 14	GO:0000077 GO:0000166 GO:0000922 GO:0001525 GO:0004674 GO:0004707 GO:0004708 GO:0004713 GO:0005515 GO:0005524 GO:0005623 GO:0005634 GO:0005737 GO:0006006 GO:0006468 GO:0006928 GO:0006935 GO:0006950 GO:0007166 GO:0007243 GO:0007519 GO:0008339 GO:0016740 GO	hsa04010 hsa04370 hsa04620 hsa04664 hsa04670 hsa04912 hsa05120 	 	 	 
FDFT1	FDFT1	Farnesyl-diphosphate farnesyltransferase 1	GO:0000287 GO:0004310 GO:0005783 GO:0006695 GO:0008299 GO:0016020 GO:0016021 GO:0016491 GO:0016740 	hsa00100 hsa00900 	 	 	 
AP3D1	AP3D1	"Adaptor-related protein complex 3, delta 1 subunit"	GO:0005215 GO:0005488 GO:0005794 GO:0005802 GO:0006726 GO:0006886 GO:0016192 GO:0030333 GO:0048007 GO:0051138 	 	 	 	 
SMARCA4	SMARCA4	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"	GO:0000166 GO:0001832 GO:0001835 GO:0003677 GO:0003700 GO:0003713 GO:0005515 GO:0005524 GO:0005634 GO:0005654 GO:0006334 GO:0006350 GO:0006357 GO:0008026 GO:0008134 GO:0016514 GO:0016787 GO:0016887 	 	 	 	 
RBBP4	RBBP4	Retinoblastoma binding protein 4	GO:0005515 GO:0005634 GO:0006260 GO:0006338 GO:0006350 GO:0006355 GO:0007049 GO:0008094 GO:0008285 GO:0016581 	 	p50_(+LPS)	 	 
EIF3S10	EIF3S10	none	 	 	 	 	 
EBNA1BP2	EBNA1BP2	EBNA1 binding protein 2	GO:0005515 GO:0005624 GO:0005634 GO:0005730 GO:0006364 GO:0007046 GO:0007059 	 	 	 	 
NME1	NME1	"Non-metastatic cells 1, protein (NM23A) expressed in"	GO:0000166 GO:0000287 GO:0001726 GO:0003677 GO:0003700 GO:0004536 GO:0004550 GO:0005515 GO:0005524 GO:0005634 GO:0005737 GO:0006183 GO:0006228 GO:0006241 GO:0006350 GO:0006355 GO:0007049 GO:0007155 GO:0008285 GO:0009117 GO:0009142 GO:0016301 GO:0016740 GO	hsa00230 hsa00240 	RelB_(+LPS)	15869 73648 73847 73848 74219 74230 74231 110579 110580 110619 110658 	73547 73625 73629 73634 73637 74203 74228 75121 75122 75124 75127 75129 110578 110616 110618 110620 110645 110647 110648 110649 110659 110662 110663 110664 110665 110673 110675 110676 110677 110684 110687 110688 110689 110690 110698 110699 110701 110702 1
ADSL	ADSL	Adenylosuccinate lyase	GO:0004018 GO:0009152 GO:0016829 	hsa00230 hsa00252 	 	15869 73817 73847 74226 74231 	73800 73828 
SNRPN	SNRPN	Small nuclear ribonucleoprotein polypeptide N	GO:0000004 GO:0003723 GO:0005554 GO:0005634 GO:0008372 GO:0016071 GO:0030529 	 	 	 	 
IMMT	IMMT	"Inner membrane protein, mitochondrial (mitofilin)"	GO:0000004 GO:0005515 GO:0005554 GO:0005739 GO:0005743 GO:0016020 GO:0016021 	 	 	 	 
PRDX6	PRDX6	Peroxiredoxin 6	GO:0004623 GO:0005764 GO:0005829 GO:0006979 GO:0009395 GO:0016042 GO:0016491 GO:0016787 GO:0051920 	hsa00360 hsa00623 hsa00650 hsa00680 hsa00940 hsa00960 	 	 	 
SSBP1	SSBP1	none	 	 	 	 	 
EIF3S8	EIF3S8	"Eukaryotic translation initiation factor 3, subunit 8, 110kDa"	GO:0003743 GO:0005852 GO:0006412 GO:0006413 GO:0006446 	 	 	72613 72649 72662 72689 72695 72702 72706 72737 72766 74160 156827 157279 	72619 72621 72676 72691 72697 156808 156823 157849 
EIF3S6	EIF3S6	"Eukaryotic translation initiation factor 3, subunit 6 48kDa"	GO:0003743 GO:0005515 GO:0006412 	 	 	72613 72649 72662 72689 72695 72702 72706 72737 72766 74160 156827 157279 	72619 72621 72676 72691 72697 156808 156823 157849 
RDBP	RDBP	RD RNA binding protein	GO:0000004 GO:0000166 GO:0003723 GO:0005515 GO:0005634 GO:0006350 GO:0006355 	 	 	73857 74159 74160 75955 75983 76043 112295 112382 112386 112387 113418 162587 162599 162906 167158 167169 167172 167200 167238 167242 167243 167246 167287 167290 	112379 112381 112385 112392 112395 112396 112437 113402 113409 113411 113412 113413 113414 113429 167076 167077 167084 167085 167087 167090 167147 167148 167150 167181 167191 167192 167196 167197 167282 167284 167288 167292 167459 167478 167481 170704 170
FH	FH	Fumarate hydratase	GO:0004333 GO:0005737 GO:0005739 GO:0006099 GO:0006106 GO:0007049 GO:0016829 GO:0045239 GO:0045786 	hsa00020 hsa00720 	 	71403 71406 	70982
PDHA1	PDHA1	Pyruvate dehydrogenase (lipoamide) alpha 1	GO:0004738 GO:0004739 GO:0005615 GO:0005739 GO:0006084 GO:0006096 GO:0008152 GO:0016491 GO:0016624 	hsa00010 hsa00252 hsa00290 hsa00620 hsa00650 	 	71397 71406 	70096 71389 71391 71393 71395 
ITGB1BP1	ITGB1BP1	Integrin beta 1 binding protein 1	GO:0007155 GO:0007160 GO:0007243 GO:0008022 GO:0016020 	 	 	 	 
ITGAE	ITGAE	"Integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)"	GO:0000287 GO:0004674 GO:0004872 GO:0005509 GO:0005515 GO:0005615 GO:0005634 GO:0006468 GO:0007049 GO:0007155 GO:0007159 GO:0007229 GO:0008305 GO:0016020 GO:0016021 	hsa04810 	 	 	 
SERTAD2	SERTAD2	SERTA domain containing 2	GO:0006350 GO:0006355 	 	 	 	 
SELPLG	SELPLG	Selectin P ligand	GO:0005102 GO:0005515 GO:0005624 GO:0005887 GO:0007155 GO:0008367 GO:0016020 GO:0016021 	hsa04514 	c-Rel_(-LPS) c+Rel_(+LPS) RelB_(+LPS)	 	 
ANP32B	ANP32B	"Acidic (leucine-rich) nuclear phosphoprotein 32 family, member B"	GO:0005634 	 	 	 	 
SEPHS2	SEPHS2	Selenophosphate synthetase 2	 	hsa00450 	 	 	 
YY1	YY1	YY1 transcription factor	GO:0003700 GO:0003713 GO:0003714 GO:0005515 GO:0005622 GO:0005634 GO:0005667 GO:0006350 GO:0006355 GO:0006357 GO:0008270 GO:0019735 GO:0046872 	 	 	 	 
FRG1	FRG1	FSHD region gene 1	GO:0005634 GO:0006364 	 	 	 	 
DAZAP2	DAZAP2	DAZ associated protein 2	GO:0005515 GO:0005667 	 	 	 	 
NAP1L1	NAP1L1	Nucleosome assembly protein 1-like 1	GO:0005515 GO:0005634 GO:0005678 GO:0006260 GO:0006334 GO:0008284 	 	p50_(+LPS)	 	 
PTP4A2	PTP4A2	"Protein tyrosine phosphatase type IVA, member 2"	GO:0004727 GO:0006470 GO:0016020 GO:0016787 	 	 	 	 
U2AF1	U2AF1	U2 small nuclear RNA auxiliary factor 1	GO:0000166 GO:0000398 GO:0003723 GO:0005515 GO:0005634 GO:0005681 GO:0008270 GO:0008380 GO:0015030 GO:0046872 	 	 	72163 72172 72187 72202 72203 73856 73857 74159 74160 75071 75983 76043 76044 109688 112168 112295 112296 159236 	72107 72124 72127 72130 72139 72143 72160 72180 72185 75096 156661 159101 
HNRPU	HNRPU	Heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	GO:0000166 GO:0003677 GO:0003723 GO:0005524 GO:0005634 GO:0006396 GO:0030529 GO:0030530 	 	 	72163 72172 72203 74160 75071 75983 76043 112168 112295 	72103 72107 72124 72127 72130 72139 72143 72160 156661 
HNRPK	HNRPK	Heterogeneous nuclear ribonucleoprotein K	GO:0003676 GO:0003677 GO:0003723 GO:0005515 GO:0005634 GO:0030529 	 	 	72163 72172 72203 74160 75071 75983 76043 112168 112295 	72103 72107 72124 72127 72130 72139 72143 72160 156661 
RAB32	RAB32	"RAB32, member RAS oncogene family"	GO:0000166 GO:0000178 GO:0005525 GO:0005622 GO:0005739 GO:0006886 GO:0007264 	 	 	 	 
RPP30	RPP30	Ribonuclease P/MRP 30kDa subunit	GO:0003735 GO:0004526 GO:0004540 GO:0005515 GO:0005622 GO:0005634 GO:0005655 GO:0005840 GO:0006412 GO:0008033 GO:0016787 	 	 	 	 
PRCC	PRCC	Papillary renal cell carcinoma (translocation-associated)	GO:0000004 GO:0005554 GO:0008372 GO:0050875 	 	 	 	 
KEAP1	KEAP1	Kelch-like ECH-associated protein 1	GO:0001701 GO:0005515 GO:0006350 GO:0006355 GO:0030528 GO:0045449 GO:0045604 	 	 	 	 
RNF4	RNF4	Ring finger protein 4	GO:0003700 GO:0003713 GO:0005515 GO:0005634 GO:0006350 GO:0006357 GO:0008270 GO:0030521 GO:0045893 GO:0046872 GO:0050681 	 	p50_(+LPS)	 	 
HSPA5	HSPA5	"Heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)"	GO:0000166 GO:0005509 GO:0005515 GO:0005524 GO:0005634 GO:0005783 GO:0005788 GO:0005793 GO:0006916 GO:0006983 GO:0008303 GO:0009986 GO:0030176 GO:0030674 GO:0043022 GO:0043027 GO:0043154 GO:0048471 GO:0051082 	hsa01510 hsa04010 hsa04612 hsa05060 	 	 	 
ARMET	ARMET	"Arginine-rich, mutated in early stage tumors"	GO:0000004 GO:0005554 GO:0005615 GO:0008372 	 	 	 	 
HYOU1	HYOU1	Hypoxia up-regulated 1	GO:0000166 GO:0005524 GO:0005615 GO:0005783 GO:0006457 GO:0006950 GO:0051082 	 	 	 	 
HADH2	HADH2	"Hydroxyacyl-Coenzyme A dehydrogenase, type II"	GO:0003857 GO:0005515 GO:0005737 GO:0005739 GO:0005743 GO:0005886 GO:0006629 GO:0008152 GO:0008709 GO:0016491 GO:0047015 	hsa00062 hsa00071 hsa00280 hsa00310 hsa00380 hsa00650 hsa00930 	 	70845 70895 71291 	70837
EBP	EBP	Emopamil binding protein (sterol isomerase)	GO:0000247 GO:0001501 GO:0004769 GO:0004888 GO:0005783 GO:0005789 GO:0005887 GO:0006695 GO:0015238 GO:0016020 GO:0016021 GO:0016126 GO:0016853 GO:0030097 GO:0047750 	hsa00100 	 	 	 
DCTN2	DCTN2	Dynactin 2 (p50)	GO:0000776 GO:0003774 GO:0005515 GO:0005813 GO:0005856 GO:0005869 GO:0005874 GO:0007067 GO:0008283 GO:0016020 GO:0030286 GO:0030426 	 	 	 	 
YWHAB	YWHAB	"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide"	GO:0004497 GO:0005737 GO:0006605 GO:0019904 GO:0048471 	hsa04110 	p50_(-LPS) p50_(+LPS)	74751 74752 77388 77389 109581 109606 109869 110029 110049 111447 112399 112407 112410 112412 114452 	109802 109803 109804 109829 109830 109841 109852 139899 139906 
RPN1	RPN1	Ribophorin I	GO:0003723 GO:0004579 GO:0005783 GO:0006486 GO:0008250 GO:0016020 GO:0016021 GO:0016740 GO:0018279 	hsa00510 hsa01030 	 	 	 
CAPNS1	CAPNS1	"Calpain, small subunit 1"	GO:0004198 GO:0005509 GO:0008284 	 	 	 	 
UFD1L	UFD1L	Ubiquitin fusion degradation 1 like (yeast)	GO:0006511 	 	 	 	 
SNRPC	SNRPC	Small nuclear ribonucleoprotein polypeptide C	GO:0003676 GO:0003723 GO:0005634 GO:0005685 GO:0008270 GO:0008380 GO:0030529 GO:0046872 	 	 	 	 
SEC13L1	SEC13L1	SEC13-like 1 (S. cerevisiae)	GO:0005554 GO:0006886 GO:0008565 	 	 	 	 
POLR2F	POLR2F	Polymerase (RNA) II (DNA directed) polypeptide F	GO:0003677 GO:0003899 GO:0005634 GO:0006350 GO:0006351 GO:0016740 GO:0030880 GO:0045449 	hsa00230 hsa00240 hsa03020 	 	72086 72163 72165 72172 72203 73776 73779 73780 73857 73885 73894 73937 73980 74158 74159 74160 75071 75953 75955 75983 76042 76043 76046 76061 76066 76071 77075 110302 110304 112168 112295 112382 112386 112387 113418 162587 162599 162906 167158 167160 16	72095 72103 72107 72124 72127 72130 72139 72143 72160 73946 75079 75080 75081 75082 75083 75095 75850 75856 75861 75862 75864 75866 75869 75873 75891 75949 76056 76060 76576 77068 77069 77071 77073 77077 77078 77081 77083 77085 77090 77095 83803 83805 109
HMGA1	HMGA1	High mobility group AT-hook 1	GO:0000785 GO:0003677 GO:0003680 GO:0003700 GO:0005634 GO:0005667 GO:0005694 GO:0006268 GO:0006337 GO:0006345 GO:0006350 GO:0006355 GO:0006461 GO:0007001 GO:0007169 GO:0030374 GO:0042975 GO:0045941 GO:0046965 	 	 	162906 162909 176033 180910 	180622 180627 
PSMB6	PSMB6	"Proteasome (prosome, macropain) subunit, beta type, 6"	GO:0004298 GO:0005829 GO:0005839 GO:0006511 	hsa03050 	 	68827 68867 68874 68949 69002 69017 69052 69229 69239 69242 69278 69300 69304 69306 69601 69610 69613 69615 69620 75815 174084 174113 174143 174154 174178 174184 176408 176409 176814 	68825 68948 69016 69600 75825 174058 174105 174202 174203 174255 
PSMD9	PSMD9	"Proteasome (prosome, macropain) 26S subunit, non-ATPase, 9"	GO:0005515 GO:0005554 GO:0005829 GO:0005838 GO:0006511 	 	 	68827 68867 68874 68949 69002 69017 69052 69229 69239 69242 69278 69300 69304 69306 69601 69610 69613 69615 69620 75815 174084 174113 174143 174154 174178 174184 176408 176409 176814 	68825 68948 69016 69600 75825 174058 174105 174202 174203 174255 
PCMT1	PCMT1	Protein-L-isoaspartate (D-aspartate) O-methyltransferase	GO:0004719 GO:0005783 GO:0006464 GO:0006479 GO:0008168 GO:0016740 	 	 	 	 
SSR4	SSR4	"Signal sequence receptor, delta (translocon-associated protein delta)"	GO:0005509 GO:0005783 GO:0005784 GO:0006886 GO:0016020 GO:0016021 	hsa05030 	 	 	 
H3F3A	H3F3A	"H3 histone, family 3A"	GO:0000786 GO:0003677 GO:0005634 GO:0005694 GO:0006334 GO:0007001 	 	 	 	 
GSTP1	GSTP1	Glutathione S-transferase pi	GO:0004364 GO:0005737 GO:0006916 GO:0007417 GO:0008152 GO:0016740 	hsa00480 hsa00980 	 	140192 156580 156590 	176054
RPL21	RPL21	Ribosomal protein L21	GO:0003723 GO:0003735 GO:0005622 GO:0005840 GO:0005842 GO:0006412 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
SNRPB	SNRPB	Small nuclear ribonucleoprotein polypeptides B and B1	GO:0000398 GO:0003677 GO:0003723 GO:0005515 GO:0005634 GO:0005681 GO:0005732 GO:0005737 GO:0006355 GO:0008380 GO:0016071 GO:0030529 GO:0030532 	 	 	72163 72165 72172 72203 73856 73857 74159 74160 75067 75071 75983 76043 76044 77588 109688 111367 112168 112295 112297 	72107 72124 72127 72130 72139 72143 72160 75079 75080 75081 75082 75083 77585 77586 111437 111438 156661 
PPIA	PPIA	Peptidylprolyl isomerase A (cyclophilin A)	GO:0003755 GO:0006457 GO:0016853 GO:0042277 GO:0045069 GO:0046790 GO:0051082 	 	 	162587 162594 162906 173107 	164500 164507 164508 164509 164510 164515 164521 164524 
HSPCA	HSPCA	none	 	 	 	 	 
ACTG1	ACTG1	"Actin, gamma 1"	GO:0000166 GO:0005200 GO:0005515 GO:0005524 GO:0005625 GO:0005829 GO:0005856 GO:0005884 GO:0015629 GO:0043034 GO:0045214 	hsa01430 hsa04510 hsa04520 hsa04530 hsa04670 hsa04810 hsa05110 hsa05130 hsa05131 	 	 	 
RPL7	RPL7	Ribosomal protein L7	GO:0003723 GO:0003735 GO:0005622 GO:0005840 GO:0005842 GO:0006412 GO:0015934 GO:0030528 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
